track_id,track_name,danceability,energy,tempo,loudness,valence,speechiness,instrumentalness,liveness,acousticness
2Z5d1taNoyOoxRQQDazMWR,Samba Lelê,0.894,0.79,96.024,-9.175,0.797,0.389,8.21e-06,0.544,0.358
76cWfrsIopzpOsWDPBjNJ7,A Banda,0.723,0.517,118.554,-9.769,0.961,0.0551,0.0,0.0967,0.86
1oJSAzNyTUCm36zhFYMcAZ,Big Yellow Taxi,0.672,0.872,88.047,-4.324,0.848,0.0486,0.0,0.16,0.00241
6mPCZm2rCaTledoBjTqSRl,All About That Bass - Live from Spotify London,0.775,0.528,135.197,-7.278,0.933,0.107,0.0,0.714,0.497
2lHVwMuA9fnKDYlceiXDLM,Rocket Man,0.128,0.0535,75.233,-23.248,0.0821,0.0382,0.963,0.0641,0.97
4Y7XAxTANhu3lmnLAzhWJW,Fireball (feat. John Ryan),0.761,0.933,122.959,-5.38,0.836,0.056,8.53e-05,0.0606,0.0908
0qukw1Cr7FADBAgzU55MQK,"Non, je ne regrette rien - Remasterisé En 2015",0.341,0.408,86.142,-7.072,0.427,0.0313,9.54e-06,0.166,0.874
46gLyFY3qZAoXpulDt6dPq,Respect,0.821,0.496,114.605,-8.4,0.955,0.0462,2.3e-05,0.328,0.479
7MIzAYEVULbhSwP6vK1zVH,Oh Chuva,0.756,0.759,127.963,-6.587,0.869,0.126,0.0,0.191,0.441
0CufeoNTkYAgTkTQsX7T5o,Get Down On It - Single Version,0.879,0.644,110.872,-6.396,0.971,0.0581,0.000148,0.0612,0.201
5gEuWtxcn5Vz4xpT7dBoBU,The Thrill Is Gone,0.692,0.493,86.644,-9.662,0.28,0.0325,0.00166,0.128,0.0934
1xNmF1Uep5OGutizZSbKvd,One Of Us,0.316,0.499,174.782,-7.899,0.403,0.0298,1.81e-05,0.126,0.0108
4jtYkaxeQg2yjPRZQttd9I,Love Of My Life - Live,0.302,0.321,110.528,-16.91,0.196,0.0827,3.57e-05,0.957,0.871
4m815SdxfKNxLHITG4WpzB,"Bola De Meia, Bola De Gude",0.566,0.7,106.154,-9.339,0.542,0.132,6e-05,0.145,0.465
7KFUj2MunvS4cbauF04r6w,O bêbado e a equilibrista,0.442,0.417,94.233,-12.992,0.276,0.047,3.54e-06,0.229,0.773
4wMgrdT7euVj4GugqcKPz4,Aqua de Beber,0.626,0.52,82.57,-8.729,0.76,0.0337,4.08e-06,0.0968,0.343
4rFCA3E7dSDUuxmbg25K6l,Mais Que Nada (Remix),0.778,0.87,99.758,-8.573,0.775,0.0804,0.175,0.102,0.00953
5RFG9IVkzxE4LhObpIJncY,Under My Thumb,0.73,0.555,126.959,-11.38,0.807,0.0377,0.207,0.178,0.33
7f0jXNMu2xjQUtmKMuWhGA,What's Up?,0.566,0.57,134.537,-9.875,0.491,0.0285,0.0,0.118,0.156
74I1z55PBTBkBC6Ay5ydf5,Flores em você,0.606,0.278,155.888,-13.195,0.763,0.0409,0.0,0.182,0.816
5xTt7WCmlfdSa9aP3MV56A,One Note Samba,0.636,0.209,82.332,-17.449,0.731,0.083,0.000996,0.317,0.903
5j6ZZwA9BnxZi5Bk0Ng4jB,Heroes - 1999 Remaster,0.478,0.774,112.577,-6.977,0.429,0.0292,0.585,0.191,0.000265
2REJewOG7lanXShkriw5f2,Tudo No Lugar,0.73,0.905,95.985,-4.547,0.686,0.0771,0.308,0.124,0.0288
7HZXKocB073IEw7ZgnVQEO,Funk Nu a Murit,0.681,0.809,92.021,-5.094,0.67,0.0399,0.773,0.0847,0.0764
0aJzrpwqEdGZQsSHLvbbpz,Vou Deixar,0.509,0.846,135.844,-6.707,0.753,0.0369,4.37e-05,0.12,0.033
4D3HlCklYQQgTEuPDso96G,Exagerado 3.0,0.566,0.878,136.027,-4.422,0.725,0.0276,0.0,0.0745,0.00493
0SrDqCmn2ClzEzNkAZYc2Y,Bete Balanço,0.782,0.705,116.967,-9.16,0.902,0.038,0.00179,0.0743,0.416
6rs96E1pfzZgBdNQKqOjEy,O segundo sol,0.339,0.882,154.202,-4.85,0.679,0.0434,6.57e-05,0.0985,0.17
5flYFbJweqUHlQjle7uRlI,Que Beleza,0.507,0.547,160.879,-7.488,0.905,0.0416,0.458,0.0769,0.314
3voQ4FSnDNKEKuBNeJjAR5,Malemolencia,0.846,0.564,141.886,-10.323,0.637,0.0474,8.81e-05,0.091,0.248
2jmJZpdJhCXhfEhewqui5G,Gostava Tanto de Você - Ao Vivo,0.561,0.832,104.198,-8.299,0.444,0.154,1.02e-06,0.581,0.0136
0oxnbj3KvvMl5khReTSn59,Wish You Were Here,0.791,0.569,143.978,-7.744,0.577,0.0605,0.0159,0.14,0.0223
4v4woUHljv9XQPSOSNwFcG,Só Tinha De Ser Com Voce (Com Tom),0.796,0.385,119.932,-15.073,0.506,0.0452,0.444,0.165,0.708
7C1bOiV8Bj0I3YpAnuS8ue,São Gonça,0.639,0.777,108.017,-5.842,0.603,0.115,0.0,0.119,0.208
4d0DpU7Odiv0ztvX2GxJlk,Exagerado,0.678,0.663,136.388,-7.726,0.822,0.0307,0.0161,0.615,0.0874
1TX4h6MrIZ0K3r4OOG11WO,Flor de Lis,0.549,0.502,85.793,-16.202,0.781,0.0493,0.0,0.0622,0.223
0bQLIdNVBA46reRFqeSz3y,Mais Que Nada,0.649,0.569,88.953,-10.145,0.884,0.0446,5.24e-05,0.201,0.628
0L7urInJWJwBXrVeunHwCU,Aquele Abraço,0.481,0.621,84.916,-9.65,0.951,0.136,0.0,0.242,0.341
4eJFgz99l1ppawgesG8RRV,16 Toneladas,0.616,0.52,82.697,-10.925,0.938,0.0599,0.0,0.082,0.809
0X3wPQutw80NtG4PQGolvT,Let's Call the Whole Thing Off,0.644,0.312,123.396,-13.538,0.582,0.199,0.0,0.0906,0.841
00hwJU6jHS9C1LW4PLWXId,Dream a Little Dream of Me,0.455,0.167,76.118,-13.613,0.404,0.0739,0.0,0.173,0.918
6tjZNDZo24C8gGelsozCzB,What a Wonderful World,0.411,0.292,108.315,-12.908,0.186,0.0321,7.12e-05,0.14,0.836
3cR6v2bOwqi7znC8P5Vs1T,Maracatu Atômico,0.748,0.729,95.743,-8.924,0.264,0.0969,0.000272,0.214,0.0142
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,0.686,0.457,150.953,-8.322,0.718,0.0468,0.0,0.105,0.595
3erAiWBiKsbVG39cqCrsI0,Human,0.643,0.698,75.073,-4.094,0.556,0.276,0.0,0.169,0.414
5VwQYHpyQPhiToPKWJaHiO,I Can't Dance,0.941,0.497,107.552,-10.805,0.899,0.0446,2.39e-05,0.0321,0.42
6GmUVqe73u5YRfUUynZK6I,Let Her Go,0.479,0.545,74.897,-7.346,0.244,0.0688,0.0,0.0963,0.365
6M6UoxIPn4NOWW0x7JPRfv,Young Folks,0.701,0.815,138.142,-5.995,0.67,0.038,0.000627,0.0969,0.0172
7ytqdjooPEAa97QSu6NUHS,Dream A Little Dream Of Me - Album Version With Introduction,0.459,0.322,133.91,-12.912,0.331,0.0595,0.0,0.072,0.816
1idZSAVHfLPQq9tDTYhnIA,The Last of the Famous International Playboys - 2010 Remaster,0.617,0.876,104.228,-5.806,0.735,0.0268,2.72e-06,0.224,0.0241
5WQ1hIc5d2EVbRQ8qsj8Uh,Hey Ya! - Radio Mix / Club Mix,0.719,0.967,79.505,-2.435,0.964,0.0552,0.000249,0.206,0.0588
3m6KkYKdnbffMpGd9Pm9FP,Seven Nation Army,0.745,0.466,123.889,-7.62,0.303,0.0864,0.35,0.272,0.00666
646J2jOtUe4Jflrmh6JFjN,Bring Me To Life,0.312,0.946,189.892,-3.209,0.297,0.107,2.93e-06,0.288,0.00749
0n2SEXB2qoRQg171q7XqeW,Smooth (feat. Rob Thomas),0.609,0.923,115.996,-3.908,0.961,0.0338,4.73e-06,0.295,0.16
4XYdH6H7haUCeEm9YezQ9K,Chão de Giz,0.667,0.44,143.843,-9.32,0.34,0.0333,0.0014,0.198,0.837
67FQ9r8wiJvKKj5gq8zmCb,Mistérios da Meia Noite,0.497,0.568,94.447,-8.759,0.579,0.0334,0.0,0.126,0.357
2nwCO1PqpvyoFIvq3Vrj8N,These Boots Are Made For Walkin',0.74,0.392,82.742,-11.996,0.387,0.0824,1.11e-06,0.0965,0.483
2gsRi0MuGDsDyvR9usz1pd,Day Tripper,0.661,0.57,145.879,-9.64,0.763,0.137,1.5e-05,0.552,0.58
1lkC6oC7SbwgnEBEC05r64,Get the Party Started,0.799,0.903,128.926,-3.366,0.963,0.0448,0.0,0.166,0.00106
6oDPg7fXW3Ug3KmbafrXzA,Wrecking Ball,0.466,0.403,119.81,-6.142,0.337,0.0337,0.0,0.111,0.395
3yP0cohcr97BUNJcgvmSVg,The Passenger,0.5,0.846,134.937,-8.098,0.738,0.0457,0.0,0.241,0.0797
2dR5WkrpwylTuT3jRWNufa,Fly Me To The Moon - Remastered,0.67,0.365,119.344,-10.158,0.45,0.0564,0.0,0.0575,0.525
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,0.31,0.7,188.386,-5.678,0.763,0.047,0.00965,0.0828,0.011
6yl8Es1tCYD9WdSkeVLFw4,You Shook Me All Night Long,0.529,0.768,127.316,-5.51,0.769,0.0566,0.000685,0.297,0.00224
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,0.573,0.913,115.715,-4.793,0.422,0.132,0.00173,0.156,0.0591
5mnvqisoDJilY0uCEdT8rG,Danny's Song,0.507,0.198,141.261,-16.089,0.601,0.0324,0.0,0.102,0.806
401RZ4h6JrBHq8mzBDu9nQ,Danny's Song,0.51,0.442,144.614,-9.468,0.517,0.0282,5.26e-05,0.0905,0.596
63vL5oxWrlvaJ0ayNaQnbX,Istanbul (Not Constantinople),0.688,0.748,114.144,-9.39,0.892,0.0377,0.00453,0.136,0.0801
0BCF5r2criwyGRSN3n36re,Andar com fé,0.774,0.647,95.098,-6.682,0.965,0.0514,0.000569,0.46,0.47
3qZaenSSBPkKTi8nJ48aKf,Vamos fugir,0.627,0.793,134.197,-10.436,0.828,0.0502,0.000362,0.758,0.475
7LjcQfRQtD7XYvjR1JKsZA,Samba Da Bencao,0.592,0.371,123.435,-14.73,0.534,0.0601,0.0,0.161,0.879
2DKuUrwCGwfRQBzIiSAKRi,Bete balanço - Ao vivo,0.577,0.933,124.091,-4.719,0.794,0.0453,9.33e-05,0.48,0.0929
5jtEGp5xkVV3zvNq7mVcW1,Anunciação,0.541,0.711,100.111,-8.929,0.785,0.0279,0.000154,0.106,0.425
0zDVclPMSsjeyvbnqhWOmt,La vie en rose - Single Version,0.52,0.0406,70.138,-16.397,0.285,0.0635,0.000364,0.0845,0.877
3Bbbz0IGORWZSLf9UqsAL4,Dream A Little Dream Of Me,0.631,0.127,76.559,-15.333,0.322,0.0949,0.0,0.0732,0.939
0LEoCPq4QlV2h41Fm5ENJ3,Common People,0.319,0.839,144.938,-7.341,0.538,0.0404,7.99e-05,0.0764,0.00596
5CeL9C3bsoe4yzYS1Qz8cw,Girls and Boys,0.693,0.875,120.048,-8.354,0.901,0.0315,0.0,0.0601,0.00971
5xC8uOesnn0udeXAYlAnoY,Alright,0.467,0.958,145.92,-4.808,0.701,0.0775,0.199,0.299,0.000479
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,0.728,0.974,79.526,-2.261,0.965,0.0665,0.000532,0.175,0.103
1vxw6aYJls2oq3gW0DujAo,Crazy,0.855,0.587,111.97,-4.589,0.64,0.0336,0.00714,0.105,0.0505
3y9p60VKSjscT2M2de0uz8,Smiley Faces,0.562,0.886,86.999,-2.448,0.636,0.0367,0.0,0.312,0.00759
3ydfhgIZIc2j39NLIhpJpq,Fuck You,0.693,0.879,127.457,-3.988,0.753,0.0578,0.0,0.124,0.193
0uqPG793dkDDN7sCUJJIVC,Where Is The Love?,0.835,0.687,94.059,-3.18,0.828,0.184,0.0,0.132,0.101
36482hNESSwELpr9sS3NbE,A Little Party Never Killed Nobody (All We Got),0.761,0.619,129.998,-5.741,0.516,0.175,3.18e-06,0.0896,0.00959
