track_id,track_name,danceability,energy,tempo,valence,url
4y6P6eic8hhTcFqtaV5ftn,Carta Ao Tom 74,0.621,0.369,143.1,0.517,https://open.spotify.com/track/4y6P6eic8hhTcFqtaV5ftn
333v4s9EybUEFOY6ComIC2,Amor e Sexo,0.6409999999999999,0.37,129.843,0.17600000000000002,https://open.spotify.com/track/333v4s9EybUEFOY6ComIC2
7LjcQfRQtD7XYvjR1JKsZA,Samba Da Bencao,0.5920000000000001,0.371,123.435,0.534,https://open.spotify.com/track/7LjcQfRQtD7XYvjR1JKsZA
3OkHIS1p4y2F8TdVKWZfod,Juste un inconnu,0.8690000000000001,0.38299999999999995,129.02100000000002,0.919,https://open.spotify.com/track/3OkHIS1p4y2F8TdVKWZfod
4v4woUHljv9XQPSOSNwFcG,Só Tinha De Ser Com Voce (Com Tom),0.7959999999999999,0.385,119.932,0.506,https://open.spotify.com/track/4v4woUHljv9XQPSOSNwFcG
2nwCO1PqpvyoFIvq3Vrj8N,These Boots Are Made For Walkin',0.74,0.392,82.742,0.387,https://open.spotify.com/track/2nwCO1PqpvyoFIvq3Vrj8N
6Z1zJjEXLrszqTPol6bfFV,Live And Let Die - Remastered 1993,0.41200000000000003,0.39299999999999996,154.241,0.183,https://open.spotify.com/track/6Z1zJjEXLrszqTPol6bfFV
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",0.6940000000000001,0.39399999999999996,104.126,0.7190000000000001,https://open.spotify.com/track/4gMgiXfqyzZLMhsksGmbQV
6i0V12jOa3mr6uu4WYhUBr,Heathens,0.732,0.396,90.024,0.5479999999999999,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
3z8h0TU7ReDPLIbEnYhWZb,Bohemian Rhapsody - 2011 Mix,0.39,0.397,144.031,0.24600000000000002,https://open.spotify.com/track/3z8h0TU7ReDPLIbEnYhWZb
4dIWbsYRqqTcLKf4bVU4kk,Como Nossos Pais,0.51,0.401,143.942,0.574,https://open.spotify.com/track/4dIWbsYRqqTcLKf4bVU4kk
44hOGg1uFg1XJZGZYNwYmM,Tainted Love,0.569,0.402,144.635,0.696,https://open.spotify.com/track/44hOGg1uFg1XJZGZYNwYmM
6oDPg7fXW3Ug3KmbafrXzA,Wrecking Ball,0.466,0.40299999999999997,119.81,0.337,https://open.spotify.com/track/6oDPg7fXW3Ug3KmbafrXzA
7CdDIvw3jvjNaIs5m3mM4A,La Belle De Jour,0.644,0.40399999999999997,105.06200000000001,0.6890000000000001,https://open.spotify.com/track/7CdDIvw3jvjNaIs5m3mM4A
3YfiGjwBzBsDrYPqAJsD4z,Kiss from a Rose - Acoustic,0.659,0.40700000000000003,119.321,0.26899999999999996,https://open.spotify.com/track/3YfiGjwBzBsDrYPqAJsD4z
